,DISPLAY_AIRPORT_NAME,NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME
0,Fresno Air Terminal,"FRESNO YOSEMITE INTERNATIONAL, CA US",11638,"Fresno, CA"
1,General Mitchell Field,"MILWAUKEE MITCHELL AIRPORT, WI US",13342,"Milwaukee, WI"
2,Memphis International,"MEMPHIS INTERNATIONAL AIRPORT, TN US",13244,"Memphis, TN"
3,Syracuse Hancock International,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",15096,"Syracuse, NY"
4,Atlanta Municipal,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",10397,"Atlanta, GA"
5,Bradley International,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",10529,"Hartford, CT"
6,Albuquerque International Sunport,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",10140,"Albuquerque, NM"
7,Greater Buffalo International,"BUFFALO NIAGARA INTERNATIONAL, NY US",10792,"Buffalo, NY"
8,Birmingham Airport,"BIRMINGHAM AIRPORT, AL US",10599,"Birmingham, AL"
9,San Jose International,"SAN JOSE INTERNATIONAL AIRPORT, CA US",14831,"San Jose, CA"
10,Norfolk International,"NORFOLK INTERNATIONAL AIRPORT, VA US",13931,"Norfolk, VA"
11,Stapleton International,"DENVER INTERNATIONAL AIRPORT, CO US",11292,"Denver, CO"
12,Dallas Love Field,"DALLAS FAA AIRPORT, TX US",11259,"Dallas, TX"
13,Greenville-Spartanburg,"GREENVILLE DOWNTOWN AIRPORT, SC US",11996,"Greer, SC"
14,Piedmont Triad International,"GREENSBORO AIRPORT, NC US",11995,"Greensboro/High Point, NC"
15,Lambert-St. Louis International,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",15016,"St. Louis, MO"
16,Standiford Field,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",14730,"Louisville, KY"
17,Washington Dulles International,"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US",12264,"Washington, DC"
18,Newark Liberty International,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",11618,"Newark, NJ"
19,Tampa International,"TAMPA INTERNATIONAL AIRPORT, FL US",15304,"Tampa, FL"
20,Minneapolis-St Paul International,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",13577,"Minneapolis, MN"
